institution,country,subject,subject_rank,world_rank,overall_score,academic_score,employer_score,faculty_score,citations_score
University of Huddersfield,United Kingdom,Performing Arts,37,697.0,,10.7,10.4,6.3,25.0
Hochschule für Musik Hanns Eisler Berlin,Germany,Performing Arts,38,,,,,,
Northwestern University,United States,Performing Arts,39,32.0,81.8,84.4,71.9,98.3,84.2
The University of Melbourne,Australia,Performing Arts,40,33.0,81.6,98.6,94.9,17.9,95.0
Shanghai Conservatory of Music (SHCM),China (Mainland),Performing Arts,41,,,,,,
Zurich University of the Arts (ZHdK),Switzerland,Performing Arts,42,,,,,,
"Trinity College Dublin, The University of Dublin",Ireland,Performing Arts,43,98.0,59.1,67.9,48.2,25.7,60.2
National University of Singapore (NUS),Singapore,Performing Arts,44,11.0,92.7,99.5,94.1,79.8,91.8
Universität der Knste Berlin,Germany,Performing Arts,44,,,,,,
Hochschule für Musik und Theater Felix Mendelssohn Bartholdy Leipzig,Germany,Performing Arts,46,,,,,,
Mahidol University,Thailand,Performing Arts,47,257.0,38.1,40.5,42.7,79.3,5.2
"University of California, Berkeley (UCB)",United States,Performing Arts,48,27.0,82.7,100.0,100.0,23.9,99.9
Indiana University Bloomington,United States,Performing Arts,49,339.0,31.7,36.6,26.3,28.4,29.4
University of Toronto,Canada,Performing Arts,50,35.0,81.5,99.6,98.3,65.6,43.5
University of Texas at Austin,United States,Petroleum Engineering,1,72.0,67.4,93.7,85.2,9.8,90.9
University of Alberta,Canada,Petroleum Engineering,2,110.0,56.9,55.1,48.9,51.5,53.9
Texas A&M University,United States,Petroleum Engineering,3,164.0,47.9,61.5,65.0,5.0,67.8
The University of Adelaide,Australia,Petroleum Engineering,4,109.0,57.0,52.3,35.2,17.2,94.5
King Fahd University of Petroleum & Minerals,Saudi Arabia,Petroleum Engineering,5,160.0,48.8,30.3,24.9,88.5,50.9
Imperial College London,United Kingdom,Petroleum Engineering,6,7.0,97.0,98.3,99.7,99.5,86.5
Khalifa University of Science and Technology,United Arab Emirates,Petroleum Engineering,7,181.0,45.6,16.6,15.2,91.7,51.9
Middle East Technical University,Türkiye,Petroleum Engineering,8,505.0,,26.8,52.7,8.5,25.0
Universidade de São Paulo,Brazil,Petroleum Engineering,9,115.0,56.1,91.8,69.9,17.4,40.6
The University of Manchester,United Kingdom,Petroleum Engineering,10,28.0,82.3,95.1,97.7,63.1,59.0
The University of New South Wales (UNSW Sydney),Australia,Petroleum Engineering,10,45.0,78.0,89.0,91.1,16.8,97.6
The University of Queensland,Australia,Petroleum Engineering,12,51.0,74.8,86.6,75.6,20.2,90.8
University of Surrey,United Kingdom,Petroleum Engineering,13,306.0,34.7,20.4,28.1,21.5,49.6
Kyoto University,Japan,Petroleum Engineering,14,36.0,81.4,98.6,98.9,94.8,54.2
Heriot-Watt University,United Kingdom,Petroleum Engineering,15,282.0,36.3,14.9,29.6,21.3,65.8
Universiti Teknologi PETRONAS (UTP),Malaysia,Petroleum Engineering,16,361.0,30.4,16.4,29.8,31.8,46.0
Politecnico di Torino,Italy,Petroleum Engineering,17,325.0,33.1,36.6,47.3,2.5,54.0
King Abdullah University of Science & Technology (KAUST),Saudi Arabia,Petroleum Engineering,18,,,,,,
"KIT, Karlsruhe Institute of Technology",Germany,Petroleum Engineering,19,142.0,51.9,44.7,67.7,33.3,72.0
Sharif University of Technology,Iran (Islamic Republic of),Petroleum Engineering,20,380.0,29.6,11.6,31.8,7.7,98.3
University of Copenhagen,Denmark,Petroleum Engineering,21,82.0,64.1,72.8,36.6,100.0,26.0
University of Leeds,United Kingdom,Petroleum Engineering,22,86.0,62.8,70.2,78.4,41.6,47.8
University of Tehran,Iran (Islamic Republic of),Petroleum Engineering,22,512.0,,22.6,27.5,4.2,55.8
Universidad de Buenos Aires (UBA),Argentina,Petroleum Engineering,24,67.0,68.9,92.3,94.0,76.0,1.8
Sultan Qaboos University,Oman,Petroleum Engineering,25,385.0,29.3,15.0,16.9,67.3,14.3
Universidad Nacional Autónoma de México (UNAM),Mexico,Petroleum Engineering,26,105.0,58.0,96.0,95.1,43.2,2.9
Pennsylvania State University,United States,Petroleum Engineering,27,93.0,60.8,76.7,69.8,32.6,67.7
Colorado School of Mines,United States,Petroleum Engineering,28,503.0,,6.9,9.2,24.9,67.7
University of Calgary,Canada,Petroleum Engineering,29,242.0,39.0,36.1,50.5,21.2,41.9
National Research Tomsk Polytechnic University,Russian Federation,Petroleum Engineering,30,398.0,28.6,9.4,7.8,91.9,5.3
Indian Institute of Technology Madras (IITM),India,Petroleum Engineering,31,250.0,38.6,38.0,58.3,27.6,58.3
Universidad Nacional de Colombia,Colombia,Petroleum Engineering,32,243.0,38.9,67.5,93.4,6.1,3.6
King Saud University,Saudi Arabia,Petroleum Engineering,33,237.0,39.4,34.5,13.1,60.8,29.3
University College Dublin,Ireland,Petroleum Engineering,34,182.0,45.6,48.7,46.8,22.5,43.0
Kazan (Volga region) Federal University,Russian Federation,Petroleum Engineering,35,322.0,33.4,20.8,7.6,91.4,3.2
University of Oslo,Norway,Petroleum Engineering,36,101.0,58.7,54.9,14.5,83.8,62.7
University of Southern California,United States,Petroleum Engineering,37,134.0,53.7,54.6,59.1,28.4,71.7
Cairo University,Egypt,Petroleum Engineering,38,553.0,,41.6,27.2,9.4,2.6
Aalborg University,Denmark,Petroleum Engineering,39,330.0,32.5,19.8,28.1,34.2,47.8
Istanbul Technical University,Türkiye,Petroleum Engineering,40,610.0,,21.9,49.1,15.0,10.9
RUDN University,Russian Federation,Petroleum Engineering,40,296.0,35.5,19.7,33.9,92.7,1.8
Universidad Industrial de Santander - UIS,Colombia,Petroleum Engineering,40,1127.0,,10.2,26.1,5.4,2.4
Universidade Federal do Rio de Janeiro,Brazil,Petroleum Engineering,40,333.0,32.1,58.1,25.3,19.3,8.9
University of Liverpool,United Kingdom,Petroleum Engineering,40,191.0,44.6,42.7,34.3,41.5,33.7
Saint Petersburg State University,Russian Federation,Petroleum Engineering,45,273.0,37.2,41.8,28.8,68.5,6.1
Universiti Teknologi Malaysia,Malaysia,Petroleum Engineering,46,,,,,,
Norwegian University of Science And Technology,Norway,Petroleum Engineering,47,352.0,30.9,33.9,27.0,25.5,25.1
Curtin University,Australia,Petroleum Engineering,48,193.0,44.4,30.5,41.2,13.9,89.4
Chulalongkorn University,Thailand,Petroleum Engineering,49,224.0,41.4,65.1,63.8,34.6,6.2
Texas Tech University,United States,Petroleum Engineering,49,1102.0,,10.1,14.2,6.3,14.7
Harvard University,United States,Pharmacy,1,5.0,97.6,100.0,100.0,99.4,100.0
University of Oxford,United Kingdom,Pharmacy,2,4.0,98.4,100.0,100.0,100.0,90.0
UCL,United Kingdom,Pharmacy,3,8.0,95.0,99.4,98.6,97.6,77.0
Monash University,Australia,Pharmacy,4,57.0,71.6,87.6,80.8,11.2,79.3
Johns Hopkins University,United States,Pharmacy,5,24.0,85.1,87.9,47.2,100.0,87.3
University of Cambridge,United Kingdom,Pharmacy,6,2.0,98.8,100.0,100.0,100.0,92.3
"University of California, San Diego (UCSD)",United States,Pharmacy,7,53.0,74.5,90.0,61.6,55.6,77.0
National University of Singapore (NUS),Singapore,Pharmacy,8,11.0,92.7,99.5,94.1,79.8,91.8
"University of California, San Francisco (UCSF)",United States,Pharmacy,9,,,,,,
"University of North Carolina, Chapel Hill",United States,Pharmacy,10,103.0,58.2,65.5,44.7,80.4,46.6
"University of California, Los Angeles (UCLA)",United States,Pharmacy,11,44.0,78.7,100.0,99.9,37.7,85.9
University of Nottingham,United Kingdom,Pharmacy,12,114.0,56.2,59.0,75.3,36.9,45.2
University of Toronto,Canada,Pharmacy,13,35.0,81.5,99.6,98.3,65.6,43.5
Karolinska Institute,Sweden,Pharmacy,14,,,,,,
King Abdulaziz University (KAU),Saudi Arabia,Pharmacy,15,106.0,57.8,48.4,70.7,66.3,50.6
University of Michigan-Ann Arbor,United States,Pharmacy,15,25.0,84.4,98.5,91.3,88.9,62.5
Imperial College London,United Kingdom,Pharmacy,17,7.0,97.0,98.3,99.7,99.5,86.5
Yale University,United States,Pharmacy,17,18.0,89.0,99.9,100.0,100.0,51.5
Queen's University Belfast,United Kingdom,Pharmacy,19,233.0,39.9,31.7,27.6,34.5,37.3
The University of Sydney,Australia,Pharmacy,19,41.0,79.6,96.2,91.7,15.6,92.1
Peking University,China (Mainland),Pharmacy,21,12.0,91.3,99.3,96.5,87.3,96.7
Leiden University,Netherlands,Pharmacy,22,132.0,54.1,68.1,23.4,22.2,65.8
KU Leuven,Belgium,Pharmacy,23,76.0,66.0,83.8,53.0,7.7,92.7
Tsinghua University,China (Mainland),Pharmacy,23,14.0,90.1,98.9,97.7,92.8,98.1
The University of Manchester,United Kingdom,Pharmacy,25,28.0,82.3,95.1,97.7,63.1,59.0
Zhejiang University,China (Mainland),Pharmacy,26,43.0,79.3,72.2,95.3,78.7,88.4
University of Copenhagen,Denmark,Pharmacy,27,82.0,64.1,72.8,36.6,100.0,26.0
The University of Queensland,Australia,Pharmacy,28,51.0,74.8,86.6,75.6,20.2,90.8
University of Pennsylvania,United States,Pharmacy,29,13.0,90.6,96.5,92.5,99.9,70.9
Seoul National University,Republic of Korea,Pharmacy,30,29.0,82.2,98.6,97.8,87.0,70.3
King's College London,United Kingdom,Pharmacy,31,37.0,81.2,88.8,83.2,74.5,60.5
University of Texas at Austin,United States,Pharmacy,31,72.0,67.4,93.7,85.2,9.8,90.9
The University of Tokyo,Japan,Pharmacy,33,23.0,85.3,100.0,99.7,91.9,73.3
Columbia University,United States,Pharmacy,34,22.0,86.7,99.7,98.1,100.0,47.2
"Trinity College Dublin, The University of Dublin",Ireland,Pharmacy,34,98.0,59.1,67.9,48.2,25.7,60.2
University of Strathclyde,United Kingdom,Pharmacy,36,326.0,33.1,25.9,41.8,18.8,33.4
The University of Edinburgh,United Kingdom,Pharmacy,37,15.0,89.5,98.0,97.2,81.1,70.1
University of Alberta,Canada,Pharmacy,38,110.0,56.9,55.1,48.9,51.5,53.9
University of British Columbia,Canada,Pharmacy,38,47.0,77.0,98.0,95.4,56.5,42.1
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Pharmacy,40,9.0,93.6,98.6,91.3,74.2,99.2
Fudan University,China (Mainland),Pharmacy,41,34.0,81.5,83.6,93.5,89.3,70.4
The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",Pharmacy,42,38.0,80.6,87.3,49.6,60.9,92.9
University of Washington,United States,Pharmacy,43,80.0,64.7,84.8,48.6,10.8,100.0
Utrecht University,Netherlands,Pharmacy,44,113.0,56.3,65.8,26.6,35.1,79.6
Shanghai Jiao Tong University,China (Mainland),Pharmacy,45,46.0,77.4,82.7,90.2,57.7,97.1
University of Wisconsin-Madison,United States,Pharmacy,46,83.0,63.7,82.4,48.1,70.6,41.9
Uppsala University,Sweden,Pharmacy,47,128.0,54.3,63.6,27.4,43.4,43.4
King Saud University,Saudi Arabia,Pharmacy,48,237.0,39.4,34.5,13.1,60.8,29.3
Purdue University,United States,Pharmacy,49,129.0,54.2,62.7,73.1,11.7,70.9
University of Milan,Italy,Pharmacy,49,324.0,33.2,49.8,15.0,5.4,48.5
New York University (NYU),United States,Philosophy,1,39.0,80.3,95.9,99.0,98.1,28.9
The London School of Economics and Political Science (LSE),United Kingdom,Philosophy,2,56.0,72.3,69.0,98.3,37.8,84.6
Rutgers University–New Brunswick,United States,Philosophy,3,268.0,37.3,37.6,35.6,51.3,26.3
University of Pittsburgh,United States,Philosophy,4,183.0,45.6,39.9,16.3,96.3,37.4
University of Oxford,United Kingdom,Philosophy,5,4.0,98.4,100.0,100.0,100.0,90.0
Ludwig-Maximilians-Universität München,Germany,Philosophy,6,59.0,70.4,92.6,75.7,56.0,45.5
University of Cambridge,United Kingdom,Philosophy,6,2.0,98.8,100.0,100.0,100.0,92.3
The Australian National University,Australia,Philosophy,8,30.0,82.1,93.6,70.1,38.0,99.3
Harvard University,United States,Philosophy,9,5.0,97.6,100.0,100.0,99.4,100.0
University of Toronto,Canada,Philosophy,10,35.0,81.5,99.6,98.3,65.6,43.5
Humboldt-Universität zu Berlin,Germany,Philosophy,11,131.0,54.1,90.1,55.6,8.7,29.5
University of Notre Dame,United States,Philosophy,12,245.0,38.9,26.6,44.2,61.5,47.3
Princeton University,United States,Philosophy,13,17.0,89.2,99.9,98.9,72.6,100.0
University of St Andrews,United Kingdom,Philosophy,14,97.0,59.5,46.2,67.6,61.1,58.9
Stanford University,United States,Philosophy,15,3.0,98.5,100.0,100.0,100.0,99.9
Yale University,United States,Philosophy,16,18.0,89.0,99.9,100.0,100.0,51.5
"University of California, Berkeley (UCB)",United States,Philosophy,17,27.0,82.7,100.0,100.0,23.9,99.9
Massachusetts Institute of Technology (MIT),United States,Philosophy,18,,,,,,
KU Leuven,Belgium,Philosophy,19,76.0,66.0,83.8,53.0,7.7,92.7
University of Chicago,United States,Philosophy,20,10.0,93.2,99.2,92.2,92.9,86.8
Columbia University,United States,Philosophy,21,22.0,86.7,99.7,98.1,100.0,47.2
The University of Edinburgh,United Kingdom,Philosophy,22,15.0,89.5,98.0,97.2,81.1,70.1
Wuhan University,China (Mainland),Philosophy,23,194.0,44.3,38.8,56.6,13.8,88.1
King's College London,United Kingdom,Philosophy,24,37.0,81.2,88.8,83.2,74.5,60.5
National University of Singapore (NUS),Singapore,Philosophy,25,11.0,92.7,99.5,94.1,79.8,91.8
Renmin (People's) University of China,China (Mainland),Philosophy,25,629.0,,21.7,52.1,18.8,7.6
Sun Yat-sen University,China (Mainland),Philosophy,27,269.0,37.3,34.4,32.5,52.6,46.0
The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",Philosophy,28,38.0,80.6,87.3,49.6,60.9,92.9
University of Michigan-Ann Arbor,United States,Philosophy,29,25.0,84.4,98.5,91.3,88.9,62.5
University of Copenhagen,Denmark,Philosophy,30,82.0,64.1,72.8,36.6,100.0,26.0
Durham University,United Kingdom,Philosophy,31,92.0,60.9,57.9,89.2,31.0,65.7
Université Paris 1 Panthéon-Sorbonne,France,Philosophy,32,,,,,,
Monash University,Australia,Philosophy,33,57.0,71.6,87.6,80.8,11.2,79.3
Freie Universitaet Berlin,Germany,Philosophy,34,118.0,55.8,80.7,44.9,4.0,63.5
The University of Sydney,Australia,Philosophy,34,41.0,79.6,96.2,91.7,15.6,92.1
University of Amsterdam,Netherlands,Philosophy,36,58.0,71.1,82.7,42.3,26.7,97.3
Peking University,China (Mainland),Philosophy,37,12.0,91.3,99.3,96.5,87.3,96.7
Goethe-University Frankfurt am Main,Germany,Philosophy,38,328.0,32.9,45.4,28.6,26.4,15.6
UCL,United Kingdom,Philosophy,39,8.0,95.0,99.4,98.6,97.6,77.0
Université PSL,France,Philosophy,40,26.0,83.8,74.4,97.0,99.8,84.1
Fudan University,China (Mainland),Philosophy,41,34.0,81.5,83.6,93.5,89.3,70.4
University of Leeds,United Kingdom,Philosophy,41,86.0,62.8,70.2,78.4,41.6,47.8
Zhejiang University,China (Mainland),Philosophy,43,43.0,79.3,72.2,95.3,78.7,88.4
Johns Hopkins University,United States,Philosophy,44,24.0,85.1,87.9,47.2,100.0,87.3
Université catholique de Louvain (UCLouvain),Belgium,Philosophy,44,196.0,44.2,49.7,43.0,5.4,61.7
Ruhr-Universität Bochum,Germany,Philosophy,46,416.0,27.5,21.4,8.9,2.2,72.6
Sorbonne University,France,Philosophy,47,60.0,70.1,90.0,41.7,40.6,86.3
University of Southern California,United States,Philosophy,47,134.0,53.7,54.6,59.1,28.4,71.7
Ruprecht-Karls-Universität Heidelberg,Germany,Philosophy,49,65.0,69.0,78.7,40.3,99.8,41.1
Western University,Canada,Philosophy,50,173.0,46.7,30.6,60.5,4.6,96.9
Massachusetts Institute of Technology (MIT),United States,Physics,1,,,,,,
Harvard University,United States,Physics,2,5.0,97.6,100.0,100.0,99.4,100.0
University of Oxford,United Kingdom,Physics,3,4.0,98.4,100.0,100.0,100.0,90.0
Stanford University,United States,Physics,4,3.0,98.5,100.0,100.0,100.0,99.9
University of Cambridge,United Kingdom,Physics,5,2.0,98.8,100.0,100.0,100.0,92.3
"University of California, Berkeley (UCB)",United States,Physics,6,27.0,82.7,100.0,100.0,23.9,99.9
California Institute of Technology (Caltech),United States,Physics,7,6.0,97.0,96.5,87.1,100.0,100.0
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Physics,8,9.0,93.6,98.6,91.3,74.2,99.2
The University of Tokyo,Japan,Physics,9,23.0,85.3,100.0,99.7,91.9,73.3
Princeton University,United States,Physics,10,17.0,89.2,99.9,98.9,72.6,100.0
Imperial College London,United Kingdom,Physics,11,7.0,97.0,98.3,99.7,99.5,86.5
Tsinghua University,China (Mainland),Physics,12,14.0,90.1,98.9,97.7,92.8,98.1
Peking University,China (Mainland),Physics,13,12.0,91.3,99.3,96.5,87.3,96.7
National University of Singapore (NUS),Singapore,Physics,14,11.0,92.7,99.5,94.1,79.8,91.8
"University of California, Los Angeles (UCLA)",United States,Physics,14,44.0,78.7,100.0,99.9,37.7,85.9
"Nanyang Technological University, Singapore (NTU)",Singapore,Physics,16,19.0,88.4,90.4,76.1,83.2,94.1
EPFL,Switzerland,Physics,17,16.0,89.2,83.7,71.8,91.1,99.4
University of Chicago,United States,Physics,18,10.0,93.2,99.2,92.2,92.9,86.8
Université Paris-Saclay,France,Physics,19,69.0,68.1,57.2,99.2,99.7,49.5
Yale University,United States,Physics,20,18.0,89.0,99.9,100.0,100.0,51.5
Cornell University,United States,Physics,21,20.0,87.2,98.3,91.4,62.2,99.3
Columbia University,United States,Physics,22,22.0,86.7,99.7,98.1,100.0,47.2
Technical University of Munich,Germany,Physics,23,49.0,76.4,84.0,96.8,96.4,25.8
Seoul National University,Republic of Korea,Physics,24,29.0,82.2,98.6,97.8,87.0,70.3
"University of California, Santa Barbara (UCSB)",United States,Physics,25,149.0,50.9,55.9,24.0,10.6,97.2
University of Illinois at Urbana-Champaign,United States,Physics,25,85.0,63.6,85.6,60.9,9.5,88.7
UCL,United Kingdom,Physics,27,8.0,95.0,99.4,98.6,97.6,77.0
Université PSL,France,Physics,27,26.0,83.8,74.4,97.0,99.8,84.1
Kyoto University,Japan,Physics,29,36.0,81.4,98.6,98.9,94.8,54.2
KAIST - Korea Advanced Institute of Science & Technology,Republic of Korea,Physics,30,42.0,79.3,88.1,85.8,68.9,97.7
University of Toronto,Canada,Physics,31,35.0,81.5,99.6,98.3,65.6,43.5
University of Science and Technology of China,China (Mainland),Physics,32,94.0,60.7,51.6,12.4,86.6,99.9
University of Michigan-Ann Arbor,United States,Physics,33,25.0,84.4,98.5,91.3,88.9,62.5
Georgia Institute of Technology,United States,Physics,34,88.0,62.3,67.7,77.0,11.1,95.5
Sorbonne University,France,Physics,35,60.0,70.1,90.0,41.7,40.6,86.3
University of Texas at Austin,United States,Physics,36,72.0,67.4,93.7,85.2,9.8,90.9
Pohang University of Science And Technology (POSTECH),Republic of Korea,Physics,37,71.0,67.7,47.4,69.4,100.0,98.0
Fudan University,China (Mainland),Physics,38,34.0,81.5,83.6,93.5,89.3,70.4
Ludwig-Maximilians-Universität München,Germany,Physics,39,59.0,70.4,92.6,75.7,56.0,45.5
Sapienza University of Rome,Italy,Physics,40,171.0,46.8,78.0,36.6,4.5,50.2
Delft University of Technology,Netherlands,Physics,41,61.0,70.0,71.6,80.2,34.5,84.4
"University of Maryland, College Park",United States,Physics,41,165.0,47.9,51.2,35.6,37.1,71.1
University of Pennsylvania,United States,Physics,41,13.0,90.6,96.5,92.5,99.9,70.9
Ruprecht-Karls-Universität Heidelberg,Germany,Physics,44,65.0,69.0,78.7,40.3,99.8,41.1
Shanghai Jiao Tong University,China (Mainland),Physics,44,46.0,77.4,82.7,90.2,57.7,97.1
University of British Columbia,Canada,Physics,44,47.0,77.0,98.0,95.4,56.5,42.1
"University of California, San Diego (UCSD)",United States,Physics,44,53.0,74.5,90.0,61.6,55.6,77.0
Institut Polytechnique de Paris,France,Physics,48,48.0,76.8,45.3,99.4,98.9,94.0
The University of Manchester,United Kingdom,Physics,49,28.0,82.3,95.1,97.7,63.1,59.0
Tohoku University,Japan,Physics,50,79.0,64.9,71.8,78.1,98.6,34.2
Harvard University,United States,Politics,1,5.0,97.6,100.0,100.0,99.4,100.0
University of Oxford,United Kingdom,Politics,2,4.0,98.4,100.0,100.0,100.0,90.0
Princeton University,United States,Politics,3,17.0,89.2,99.9,98.9,72.6,100.0
Sciences Po,France,Politics,4,,,,,,
Stanford University,United States,Politics,5,3.0,98.5,100.0,100.0,100.0,99.9
The London School of Economics and Political Science (LSE),United Kingdom,Politics,5,56.0,72.3,69.0,98.3,37.8,84.6
University of Cambridge,United Kingdom,Politics,7,2.0,98.8,100.0,100.0,100.0,92.3
Yale University,United States,Politics,8,18.0,89.0,99.9,100.0,100.0,51.5
"University of California, Berkeley (UCB)",United States,Politics,9,27.0,82.7,100.0,100.0,23.9,99.9
National University of Singapore (NUS),Singapore,Politics,10,11.0,92.7,99.5,94.1,79.8,91.8
The Australian National University,Australia,Politics,11,30.0,82.1,93.6,70.1,38.0,99.3
Columbia University,United States,Politics,12,22.0,86.7,99.7,98.1,100.0,47.2
King's College London,United Kingdom,Politics,12,37.0,81.2,88.8,83.2,74.5,60.5
Georgetown University,United States,Politics,14,281.0,36.3,31.2,44.6,55.4,27.3
Massachusetts Institute of Technology (MIT),United States,Politics,15,,,,,,
University of Chicago,United States,Politics,16,10.0,93.2,99.2,92.2,92.9,86.8
Leiden University,Netherlands,Politics,17,132.0,54.1,68.1,23.4,22.2,65.8
"University of California, Los Angeles (UCLA)",United States,Politics,18,44.0,78.7,100.0,99.9,37.7,85.9
Tsinghua University,China (Mainland),Politics,19,14.0,90.1,98.9,97.7,92.8,98.1
Fudan University,China (Mainland),Politics,20,34.0,81.5,83.6,93.5,89.3,70.4
Yonsei University,Republic of Korea,Politics,21,73.0,67.0,75.5,95.5,88.6,28.4
UCL,United Kingdom,Politics,22,8.0,95.0,99.4,98.6,97.6,77.0
University of Amsterdam,Netherlands,Politics,23,58.0,71.1,82.7,42.3,26.7,97.3
Seoul National University,Republic of Korea,Politics,24,29.0,82.2,98.6,97.8,87.0,70.3
Luiss Guido Carli University,Italy,Politics,25,,,,,,
University of Michigan-Ann Arbor,United States,Politics,26,25.0,84.4,98.5,91.3,88.9,62.5
Peking University,China (Mainland),Politics,27,12.0,91.3,99.3,96.5,87.3,96.7
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Politics,28,9.0,93.6,98.6,91.3,74.2,99.2
SOAS University of London,United Kingdom,Politics,28,,,,,,
The University of Tokyo,Japan,Politics,30,23.0,85.3,100.0,99.7,91.9,73.3
The University of Edinburgh,United Kingdom,Politics,31,15.0,89.5,98.0,97.2,81.1,70.1
Freie Universitaet Berlin,Germany,Politics,32,118.0,55.8,80.7,44.9,4.0,63.5
"University of California, San Diego (UCSD)",United States,Politics,33,53.0,74.5,90.0,61.6,55.6,77.0
Duke University,United States,Politics,34,50.0,74.8,86.1,79.8,100.0,41.2
"Nanyang Technological University, Singapore (NTU)",Singapore,Politics,34,19.0,88.4,90.4,76.1,83.2,94.1
University of Toronto,Canada,Politics,34,35.0,81.5,99.6,98.3,65.6,43.5
New York University (NYU),United States,Politics,37,39.0,80.3,95.9,99.0,98.1,28.9
Pontificia Universidad Católica de Chile (UC),Chile,Politics,38,121.0,54.9,91.8,98.1,22.3,12.5
George Washington University,United States,Politics,39,362.0,30.3,27.2,29.0,31.3,32.6
Johns Hopkins University,United States,Politics,39,24.0,85.1,87.9,47.2,100.0,87.3
Korea University,Republic of Korea,Politics,41,74.0,66.9,79.3,93.9,86.1,29.5
The University of Sydney,Australia,Politics,42,41.0,79.6,96.2,91.7,15.6,92.1
Central European University,Austria,Politics,43,,,,,,
McGill University,Canada,Politics,44,31.0,81.9,93.3,93.6,68.9,59.6
The University of Manchester,United Kingdom,Politics,45,28.0,82.3,95.1,97.7,63.1,59.0
Aarhus University,Denmark,Politics,46,161.0,48.6,55.6,33.5,32.4,55.2
European University Institute,Italy,Politics,46,,,,,,
Cornell University,United States,Politics,48,20.0,87.2,98.3,91.4,62.2,99.3
University of British Columbia,Canada,Politics,48,47.0,77.0,98.0,95.4,56.5,42.1
Universidade de São Paulo,Brazil,Politics,50,115.0,56.1,91.8,69.9,17.4,40.6
Harvard University,United States,Psychology,1,5.0,97.6,100.0,100.0,99.4,100.0
University of Oxford,United Kingdom,Psychology,2,4.0,98.4,100.0,100.0,100.0,90.0
Stanford University,United States,Psychology,3,3.0,98.5,100.0,100.0,100.0,99.9
University of Cambridge,United Kingdom,Psychology,4,2.0,98.8,100.0,100.0,100.0,92.3
Yale University,United States,Psychology,5,18.0,89.0,99.9,100.0,100.0,51.5
UCL,United Kingdom,Psychology,6,8.0,95.0,99.4,98.6,97.6,77.0
Columbia University,United States,Psychology,7,22.0,86.7,99.7,98.1,100.0,47.2
University of Michigan-Ann Arbor,United States,Psychology,8,25.0,84.4,98.5,91.3,88.9,62.5
"University of California, Los Angeles (UCLA)",United States,Psychology,9,44.0,78.7,100.0,99.9,37.7,85.9
University of Amsterdam,Netherlands,Psychology,10,58.0,71.1,82.7,42.3,26.7,97.3
Massachusetts Institute of Technology (MIT),United States,Psychology,11,,,,,,
"University of California, Berkeley (UCB)",United States,Psychology,12,27.0,82.7,100.0,100.0,23.9,99.9
University of Toronto,Canada,Psychology,13,35.0,81.5,99.6,98.3,65.6,43.5
New York University (NYU),United States,Psychology,14,39.0,80.3,95.9,99.0,98.1,28.9
University of Pennsylvania,United States,Psychology,14,13.0,90.6,96.5,92.5,99.9,70.9
National University of Singapore (NUS),Singapore,Psychology,16,11.0,92.7,99.5,94.1,79.8,91.8
KU Leuven,Belgium,Psychology,17,76.0,66.0,83.8,53.0,7.7,92.7
King's College London,United Kingdom,Psychology,18,37.0,81.2,88.8,83.2,74.5,60.5
The London School of Economics and Political Science (LSE),United Kingdom,Psychology,19,56.0,72.3,69.0,98.3,37.8,84.6
University of British Columbia,Canada,Psychology,19,47.0,77.0,98.0,95.4,56.5,42.1
The University of Melbourne,Australia,Psychology,21,33.0,81.6,98.6,94.9,17.9,95.0
Princeton University,United States,Psychology,22,17.0,89.2,99.9,98.9,72.6,100.0
Northwestern University,United States,Psychology,23,32.0,81.8,84.4,71.9,98.3,84.2
University of Chicago,United States,Psychology,24,10.0,93.2,99.2,92.2,92.9,86.8
McGill University,Canada,Psychology,25,31.0,81.9,93.3,93.6,68.9,59.6
University of Texas at Austin,United States,Psychology,26,72.0,67.4,93.7,85.2,9.8,90.9
"Nanyang Technological University, Singapore (NTU)",Singapore,Psychology,27,19.0,88.4,90.4,76.1,83.2,94.1
The University of Hong Kong,"Hong Kong SAR, China",Psychology,28,21.0,87.0,97.4,62.9,84.2,72.6
University of Groningen,Netherlands,Psychology,29,145.0,51.4,51.6,21.6,54.4,42.2
The University of Edinburgh,United Kingdom,Psychology,30,15.0,89.5,98.0,97.2,81.1,70.1
Utrecht University,Netherlands,Psychology,30,113.0,56.3,65.8,26.6,35.1,79.6
The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",Psychology,32,38.0,80.6,87.3,49.6,60.9,92.9
The University of New South Wales (UNSW Sydney),Australia,Psychology,32,45.0,78.0,89.0,91.1,16.8,97.6
The University of Queensland,Australia,Psychology,34,51.0,74.8,86.6,75.6,20.2,90.8
Peking University,China (Mainland),Psychology,35,12.0,91.3,99.3,96.5,87.3,96.7
University of Illinois at Urbana-Champaign,United States,Psychology,36,85.0,63.6,85.6,60.9,9.5,88.7
Duke University,United States,Psychology,37,50.0,74.8,86.1,79.8,100.0,41.2
University of Minnesota Twin Cities,United States,Psychology,38,186.0,45.4,60.1,28.2,38.2,49.2
